n,m,anm,bnm,cnm,amn,bmn,cmn
7,45,509.3,-0.29,0,-523.8,3.158,0
7,46,659.22,-1.8841,0,-588.21,0.9707,0
7,47,934.67,-4.4232,0.006054,-649.31,1.3487,-0.001586
7,48,64.43999,-0.0094,0,-439.58,0.3142,0
7,49,-1119.8,7.95909,-0.008555,-128.903,-0.468519,-0.000916
7,53,499.44,-6.6553,0.01656,952.57,-0.8437,-0.0048
7,56,-302.93,0.5975,0,652.86,-1.8013,0
7,61,1038.3,0,0,-270.53,0,0
7,84,659.2109,-0.59252,0.0451602,151.31,-3.00895,0.0019814
7,85,2770.851,-2.00944,0,1996.724,-5.47448,0
7,89,2707.161,-2.51124,-0.0022558,-399.1902,0.16195,-0.0067585
7,90,-1616.174,5.32305,0,275.7479,-1.97057,0
7,91,318.2128,-1.42376,0,385.0068,-2.49001,0
7,93,4878.28,-6.38758,0,-444.615,-0.776483,0
7,98,206.2641,-2.57259,0.0032526,-371.2031,0.99046,-0.000807
8,9,-145.2,-0.738,0,-666.8,1.918,0
8,10,5.604,0,0,-410.21,0,0
8,11,-212.9,0,0,-224.4,0,0
8,13,-329.3,0,0,-80.58,0,0
8,17,542,-6.792,0.01655,-131.1,-0.9399,0.000469
8,18,-4080.9,12.859,-0.0101,-41.594,-3.5887,0.004
8,20,401.88,0,0,281.08,0,0
8,24,2356,-3.347,0,2157,-3.718,0
8,25,555.5,0,0,1554,0,0
8,31,-309,0,0,191.7,0,0
8,42,391.2,-0.8799,0,3630,-6.23,0
8,52,4911.4,9.8501,0,2332.5,-4.0832,0
9,10,197.6,0,0,-93.07999,0,0
9,11,-16.486,-0.27924,0,33.415,0.21913,0
9,12,-83.57,0,0,101.3,0,0
9,13,3645,-26.91,0.04757,695.8,-0.9619,-0.002462
9,15,-47.97,0,0,119.5,0,0
9,16,-389.6,0.1944,0.001863,2831,-13.01,0.01558
9,17,1732,-9.896001,0.0141,1460,-13.73,0.02917
9,18,-1908.7,4.1057,0,307.16,-0.8161,0
9,19,-191,0.6835,0,79.08,-0.3808,0
9,20,-109.51,0.96888,0,178.22,-0.91676,0
9,21,-99.97601,0,0,55.27,0,0
9,22,-18.695,-0.52606,0,-218.94,1.0749,0
9,23,810.17,-3.2209,0.0021443,-48.641,-0.79498,0.0037129
9,24,-208.71,0.8293,-0.0014,155.73,1.4412,-0.0025
9,25,1297,-1.365,-0.02253,1375,2.499,0.006309
9,26,-35.89,-0.1009,0,-32.6,0.0847,0
9,27,-169.6,2.986,0,-328.1,0.3045,0
9,28,419.9,0.09772,0,315.3,-0.5617,0
9,29,2.714,0,0,64.41,0,0
9,30,-986,3.847,0,277,-1.357,0
9,31,478.5,-1.148,0,-72.58,0.4909,0
9,32,346.6,-0.7017,0,-182,0.7905,0
9,33,-717.76,2.9431,0,319.69,-1.4362,0
9,34,-62.43,-0.8977,0,-481.2,9.604,0
9,35,-76.87,0.5372,0,38.06,-0.5189,0
9,37,64.01,-1.077,0,-153.4,3.143,0
9,39,80.79201,-3.702,0.011586,1955.5,-10,0.011386
9,41,64.21,0,0,-148.3,0,0
9,42,437.739,-2.7983,0.00364,364.423,2.1022,-0.004653
9,43,-62.857,0.2898,0,80.038,-0.10124,0
9,45,-497.98,0.79715,0.00029817,945.14,-3.8168,0.0045351
9,47,502.1,0.3401,0,141.01,-0.9829,0
9,48,37.37,0,0,-116.4,0,0
9,49,410.655,-1.1056,0,-201.105,0.7123,0
9,52,-153.7,0.242,0,2311.5,-6.6054,0
9,84,173.4451,-5.52695,0.0160979,958.3726,-4.73012,0.0047161
9,85,824.1235,-2.88368,0.0041569,670.0023,-5.05233,0.0074865
9,87,99.5504,0.45575,0,-1504.191,4.63058,0
9,89,147.2528,-2.74448,0,177.8232,-2.24998,0
9,90,331.1518,-1.11421,0,-30.955,-0.71244,0
9,91,571.6566,-4.43975,0,-1449.573,4.44554,0
9,98,519.4855,-5.4673,0.0068391,3306.365,0.15196,-0.0082641
10,11,-208.4,0,0,389.7,0,0
10,12,-160.7,0,0,226.6,0,0
10,13,209,-0.6241,0,235.7,0.1314,0
10,20,435.64,0,0,-188,0,0
10,21,985.7,-2.986,0,-888.3,3.426,0
10,22,-41.537,0,0,354.71,0,0
10,29,-373.7,0,0,-397.5,0,0
10,30,-742.7,0,0,-214.8,0,0
10,32,114.3,0,0,293.5,0,0
10,34,236.6,0,0,-93.066,0,0
10,37,-43.56,0,0,945.6,0,0
10,39,2371,0,0,-225.3,0,0
10,42,716.7,-1.516,0,1161,-0.5724,0
11,12,342.4,0,0,-251.7,0,0
11,13,195.3,-9.75,0.04051,824.2,-6.009,0.008271
11,15,3168,-24.07,0.04303,3329,-13.78,0.01193
11,16,152.8,-1.099,0,160.8,0.8719,0
11,17,-1355,7.683001,-0.01012,3499,-22.96,0.03543
11,18,87.6,1.4109,0,45.309,-1.4281,0
11,19,-193.23,0.43006,0,139.55,-0.43665,0
11,20,62.031,1.0567,0,59.594,-0.71198,0
11,21,-49.339,0,0,48.852,0,0
11,22,168.17,-1.0536,0,-461.35,1.8569,0
11,24,-5.71,-0.2724,0,223.4,0.1237,0
11,25,3351,-14.54,0,-788.6,1.693,0
11,26,9.222,-0.3292,0,-50.36,0.02448,0
11,28,861.1,-1.693,0,280,-0.9491,0
11,30,80.68999,0,0,-136.3,0,0
11,31,-72.07,0,0,69.25,0,0
11,32,82.96,0,0,11.62,0,0
11,33,-386.3,1.892,0,248.3,-1.198,0
11,35,296.8,-1.264,0,-337.1,0.8843,0
11,36,-92.12,0.9031,0,503.5,-1.792,0
11,37,-201.4,0.5487,0,-320,1.052,0
11,39,96.77,0.4827,0,16.69,-0.5966,0
11,41,-338.8,1.837,0,3.924,-1.174,0
11,42,374.1,-1.976,0.001682,460.8,-0.06206,4.10E-05
11,43,-28.231,0,0,36.948,0,0
11,44,745.4,0,0,-447.04,0,0
11,45,-579.11,0.9455,0,966.35,-2.1861,0
11,47,758.13,-0.2593,0,32.71,-0.8641,0
11,48,611.47,-2.4783,0,-1031.78,3.9906,0
11,49,2973.58,-5.45555,0,81.6384,-1.3111,0
11,56,-1336.2,6.7742,-0.0082,1915.2,-9.9994,0.0126
11,61,-1366.59,5.90673,-0.007325,2622.04,-11.7013,0.013472
12,18,-9.2978,0,0,-123.73,0,0
12,19,92.21,0,0,-33.64,0,0
12,24,-142.2,0.572,0,465.8,-0.7730001,0
12,25,1894,0,0,18.79,0,0
12,29,161.8,0,0,13.97,0,0
12,37,745.4,-0.622,0,-479.1,0.8031,0
12,39,580.3,0,0,-285.5,0,0
12,42,227.6,-0.7762,0,509,-0.2248,0
12,44,489.15,0,0,-441.01,0,0
12,45,260.64,-1.2868,0,-597.09,2.5295,0
13,18,-199.94,-6.9867,0.0193,-430.49,-0.728,0.004
13,19,1987,-8.022,0.01065,-588.8,1.481,-0.002636
13,20,521.48,0,0,-310.82,0,0
13,21,-208.6,-0.2571,0.002418,872,-2.939,0.001269
13,22,492.9,-6.475,0.01806,215.3,-2.482,0.002745
13,23,-607.35,2.3467,0,97.12801,-0.64386,0
13,24,-425.4,0.9514,0,641.2,-1.486,0
13,25,974,-1.368,-0.01983,381.1,-5.682,0.01675
13,26,-305.1,0.7063,0,319.6,-1.368,0
13,28,35.02,1.702,0,198.5,-1.434,0
13,29,102.6,0,0,-210.1,0,0
13,30,513.7,0,0,-299.6,0,0
13,32,-104.8,0,0,464,0,0
13,34,-137.87,0,0,169.27,0,0
13,37,-422.7,2.23,0,-326.4,0.24,0
13,38,155.7,-1.578,0,-528.8,2.822,0
13,42,397,-1.379,0,-214.1,1.134,0
13,43,-124.33,-0.29398,0,561.14,-0.7058,0
13,44,-454.92,0,0,310.75,0,0
13,45,-515.93,0.3835,0,1368,-2.6254,0
13,48,1321.52,0,0,-361.25,0,0
13,49,3858.07,-9.278001,7.00E-06,-224.782,-0.410609,-4.00E-06
13,56,-209.209,-0.470423,0.006918,1163.91,-7.1332,0.00839
13,93,-584.728,0,0,178.501,0,0
14,15,1517,-12.72,0.02557,-1074,9,-0.01795
14,16,-472.4,-0.2051,0.01058,836.6,-5.208,0.004801
14,19,-412.38,-0.49092,0.0062553,2412.2,-10.495,0.0097411
14,24,-65.76,-0.3148,0,333.9,-0.1415,0
14,25,2553,-11.9,0,3873,-9.315001,0
14,29,-205.1,0,0,244.4,0,0
14,39,162.14,0,0,-112.76,0,0
14,42,124.3,-1.147,0,621.9,0.258,0
14,43,-143.07,0,0,182.58,0,0
14,47,413.11,0,0,-293.93,0,0
14,56,190.882,0,0,14.9127,0,0
15,16,402.6,-1.614,0,-639.9,2.561,0
15,19,242.2,0,0,-131.9,0,0
15,24,-3.28,0,0,43.83,0,0
15,25,3888,-16.26,0,-868.8,2.948,0
15,38,-330.2,0,0,904.1,0,0
15,39,-88.49,0,0,-230.55,0,0
15,42,-131.9,-0.007369,0,1248,-2.79,0
15,43,-186.98,0,0,295.07,0,0
15,47,444.67,0.8351,0,-196.23,-0.0511,0
15,56,1178.79,-9.99911,0.020758,1667.89,-7.58704,0.008006
16,22,-473,0.8883,0,406.8,-1.524,0
16,24,215.9,-1.399,0,-825.9,3.15,0
16,25,1622,-4.812,-0.01856,-94.87,-9.612,0.03722
16,38,-7.532001,-0.8077,0,35.16,0.09722999,0
16,39,965,0,0,-311.9,0,0
16,42,324.15,-1.4264,0,-198.32,1.452,0
16,45,-420.24,0.26315,0,-1035.8,3.078,0
16,47,-729.5,6.2811,0,-66.61,-0.696,0
16,48,2111.24,0,0,-235.61,0,0
16,56,2662.02,-13.9855,0.017738,-1780.41,5.71975,-0.00165
17,18,74.285,14.613,-0.0283,-558.39,1.2436,-0.0007
17,19,393.9,-4.703,0.009003,2987,-9.336,0.007147
17,21,582.1,-2.33,0.000377,-338,3.372,-0.003676
17,24,3986,-16.15,0.01635,2626,-10.59,0.01466
17,25,3709.2,0,0,1583.8,0,0
17,27,3770,1.686,0,1.655,-1.164,0
17,31,1268,-3.042,0,-818.8,3.229,0
17,39,-391.9,0,0,650.7,0,0
17,42,1371,-3.323,0,1091,-0.2657,0
17,47,1271.42,-6.4373,0.006451,-2476.18,10.9894,-0.009617
18,19,746.12,-2.1937,0,-2307.8,5.8186,0
18,20,-451.49,-0.4031,0,-2617.7,4.614,0
18,21,-67.106,-0.4933,0,-1592.8,2.8397,0
18,22,-978.25,2.1884,0,946.79,-4.9886,0
18,24,229.66,-1.5005,0,-2111,6.3625,0
18,33,-713.65,1.9191,0,-763.19,0.603,0
18,38,197.95,-0.3316,-0.0004,-1052.5,1.6854,0.0027
18,42,268.23,-1.4137,0,-5894.1,13.088,0
18,43,-250.25,0.3811,0,-1269.7,2.6335,0
18,45,-516.31,1.6943,0,-1646.8,2.7237,0
18,47,489.93,-0.5591,-0.00102,-2250.64,5.4638,-0.00015
18,52,-674,1.8854,0,4998.6,1.1962,0
19,21,176.5,-1.237,0,-368.7,1.992,0
19,22,-78.96,0,0,14.76,0,0
19,24,65.82,-0.6265,0,357.6,0.7676,0
19,25,1283,3.361,-0.02978,2331,-9.238001,0.01158
19,26,117.53,-0.44692,0,-128.21,0.50349,0
19,28,468.8,0,0,434.8,0,0
19,29,-18.8,-0.3652,0,41.54,0.646,0
19,31,506.6,-1.263,0,11.72,0.7004,0
19,33,-211.2,0,0,362.6,0,0
19,34,11.65,-1.229,0,-1428,7.698,0
19,36,267.1,0,0,-144.7,0,0
19,37,61.96,-0.4161,0,-19.1,1.195,0
19,39,57.08,-0.7417,0,-160.48,1.0644,0
19,41,-75.67,0,0,26.8,0,0
19,42,256.2,-1.526,0.001118,1336,-3.395,0.004586
19,43,-28.653,-0.48152,0,56.754,0.89781,0
19,45,237.42,-1.2928,0,-642.44,2.8574,0
19,49,297.646,-0.66206,0,-116.794,0.54754,0
19,56,-50.8443,-0.025287,0,180.813,-0.0641231,0
20,21,27.618,0,0,702.4,0,0
20,22,94.606,0,0,425.97,0,0
20,24,701.95,-1.7576,0,213.34,2.1861,0
20,25,-1398.7,0,0,1000,0,0
20,32,146.06,0,0,780.71,0,0
20,33,-18.328,0,0,753.21,0,0
20,37,-447.95,1.5141,0,283.64,1.5491,0
20,39,-421.21,0,0,93.773,0,0
20,41,-271.176,1.4107,0,218.974,-0.8061,0
20,42,1060,-2.822,0,578.3,1.493,0
20,43,720.45,-1.5187,0,-140.77,0.309,0
20,44,-65.631,0,0,-14.016,0,0
20,45,508.72,-1.4005,0,-386.93,2.3961,0
20,47,-369.31,0,0,-0.29,0,0
20,48,-400.86,0,0,-244.69,0,0
21,22,70.79,0,0,-66.21,0,0
21,23,592.4,-4.2459,0.0069046,603.29,-3.977,0.0062484
21,24,16.34,0.07287,0,95.05,-0.2348,0
21,25,3985,-15.7,0,15.62,-1.099,0
21,26,24.44,-0.4713,0,142.1,-0.153,0
21,27,1248,-2.04,0,1295,-4.224,0
21,28,295.9,0,0,-137.7,0,0
21,30,666,0,0,-390.6,0,0
21,33,128.8,-0.2077,0,-92.68,-0.01307,0
21,37,280,0,0,-207.3,0,0
21,39,-70.45,0,0,-59.29,0,0
21,42,-31.42,-0.248,0,370.6,-0.322,0
21,43,-325.77,2.0412,0,70.075,-1.149,0
21,44,530.3,0,0,17.052,0,0
21,45,207.12,-0.43964,0,-175.29,0.32745,0
21,49,955.8281,-1.00012,0,-151.036,-0.458824,0
21,56,842.486,-1.8434,0,-313.202,0.4139,0
22,23,187.43,-3.446,0.0067179,1468.9,-5,0.003701
22,24,46.29,-0.2115,0,46.03,0.05388,0
22,25,3353,-14.2,0,368.6,-1.748,0
22,26,822.4,-2.05,0,-423.1,0.8154,0
22,30,-174.6,0,0,106.3,0,0
22,32,132.7,-0.1183,0,-23.81,-0.09203999,0
22,33,-139.6,1.022,0,96.4,-0.776,0
22,35,-178.3,0.7426,0,-39.45,-0.8556,0
22,37,160.7,0,0,-135.9,0,0
22,39,-147.64,0,0,75.45,0,0
22,42,10.7,-0.2702,0,224.4,-0.1399,0
22,43,108.83,-0.86059,0,-358.57,1.3307,0
22,45,7.3664,0.40456,0,-1.6641,-0.37825,0
22,48,102.8,-0.0879,0,-446.86,0.4276,0
22,49,-1017.26,3.0909,0,894.509,-2.93164,0
22,56,262.138,0,0,-229.081,0,0
23,24,-323.17,1.1973,0,350.92,-1.3456,0
23,33,599.82,0,0,-364.76,0,0
23,37,325.81,0,0,-199.87,0,0
23,42,289.08,-0.5852,0,-69.60101,-0.4274,0
23,56,401.698,0,0,157.634,0,0
24,25,-131.8,9.802,-0.03582,972.1,-6.82,0.009219
24,26,441.5,-0.5353,0,-65.74,0.0967,0
24,27,3286,0,0,167.5,0,0
24,28,9.362,1.033,0,52.01,-0.9095,0
24,30,750.2,0.8165,0,100.5,-0.8269,0
24,32,49.51,0.6829,0,186.4,-0.7294,0
24,33,203.2,-1.328,0,-1360,7.402,0
24,35,325.2,0.4405,0,-60.89,-0.6321,0
24,36,902,0,0,-194.9,0,0
24,37,220.6,0.3756,0,-134.4,-0.3226,0
24,38,197.4,-0.4858,0,-98.98,-0.02128,0
24,39,512.7,0.02702,0,-168.4,-0.123,0
24,42,-37.183,-0.047827,0,60.78,0.024262,0
24,43,190.45,0.012716,0,-131.87,-0.014204,0
24,45,22.779,0.042145,0,14.947,-0.11086,0
24,49,516.966,0.19471,0.001855,-198.677,0.435084,-0.001271
24,52,1366.3,-3.8385,0,-580.46,1.1653,0
24,56,120.59,1.2816,0,261.15,-0.8815,0
25,26,3986,25,0,3638,-14.25,0
25,27,-184.5,2.2806,0,2926.02,-1.8141,0
25,33,-69.88,0,0,981.5,0,0
25,39,-12.71,-0.4758,0,472.49,-0.5503,0
25,42,207.16,-1.2206,0,223.782,-0.5826,0
25,43,96.855,-1.2993,0,2991.9,-9.3959,0
25,45,-27.161,0.611,0,4235.3,-16.954,0
25,49,593.203,-0.7904,0,88.32201,0.1605,0
26,27,85.6,0,0,986,0,0
26,28,68.87,3.217,0,655.7,-2.203,0
26,32,643.8,-0.7376,0,17.81,-0.2245,0
26,33,9.258,-0.1079,0,121.4,0.05397,0
26,34,-70.24,0,0,132.2,0,0
26,37,159,0,0,108.4,0,0
26,39,606.9,0,0,-340.9,0,0
26,42,119.3,-0.5691,0,522.9,-0.2485,0
26,43,53.75,0,0,-47.089,0,0
26,52,324.62,-1.1828,0,11.442,0.7866,0
27,33,505.4,0,0,81.44501,0,0
27,42,2004,-4.5,0,2600,-4.8,0
28,32,212.4,-0.3692,0,200.6,-0.228,0
28,37,-93.31,-0.1286,0,319.4,0.03419,0
28,42,29.45,-0.9194,0,92.4,1.191,0
28,43,166.56,-1.0407,0,1.0902,1.5927,0
28,45,89.744,-1.0122,0,40.987,1.1526,0
29,35,467.1,0,0,-360,0,0
29,39,356.6,0,0,-247.6,0,0
29,42,-7.465,-0.4151,0,439.73,-0.2619,0
30,37,-277.6,0,0,1168,0,0
30,42,96.59,-0.7691,0,846.7,0.2545,0
30,44,778.78,0,0,-384.29,0,0
31,35,-228.4,0,0,-47.81,0,0
31,39,373.8,0,0,-231.6,0,0
31,47,-210.34,0.9103,0,106.79,-0.9536999,0
32,33,-536.2,1.995,0,558,-1.924,0
32,45,-47.772,-0.009201,0,92.429,0.17437,0
33,35,-83.7,0.1436,0,-116.7,-0.06775,0
33,41,-378.1,2.56,0,13.78,-0.936,0
33,42,-122.5,0.0913,0,476.9,-0.61,0
33,43,-186.4,0,0,265.42,0,0
33,56,2459.01,0,0,-271.226,0,0
34,39,1025,0,0,-416.5,0,0
35,39,-133.35,0.1022,0,221.74,-0.5021,0
35,45,-322.46,-0.020828,0,67.069,0.23965,0
35,49,-3.44708,0,0,-72.16901,0,0
36,37,-74.88,0,0,1004,0,0
36,39,-110.34,0,0,97.36,0,0
37,39,967.74,0,0,-306.22,0,0
37,41,-211.1,0,0,516.5,0,0
37,42,-24.82,-0.5324,0,81.56,0.7293,0
37,43,321.62,-4.9963,0.013871,713.9,-2.7759,0.00091722
37,45,185.82,0,0,-139,0,0
38,39,190.06,0,0,-229.97,0,0
38,40,-57.38,0,0,110.4,0,0
38,42,112.7,-0.4103,0,21.04,-0.1288,0
38,43,-22.572,0,0,-7.56,0,0
39,42,141.2,-0.8783,0,666.5,-0.1555,0
39,43,53.871,-0.67747,0,-54.26,1.0612,0
39,44,-310.13,0,0,-367.48,0,0
39,49,-18.3768,-0.450261,0,-2.27584,0.601128,0
40,42,165.6,0,0,-109,0,0
41,42,683.3,6.321,0,865,-2.89,0
42,43,242.49,-0.038323,0,20.834,-0.34718,0
42,45,183.79,-0.15182,0,-61.922,-0.059442,0
42,46,298.46,-0.6823,0,499.59,-0.8158,0
42,47,2187.67,-1.057,0,165.66,-0.9151,0
42,48,499.19,0.5131,0,148.66,-1.0328,0
42,49,-49.6851,3.86633,0,159.179,-1.11479,0
42,52,313.43,0.0911,0,-30.564,-0.2455,0
42,55,373.49,0.0647,0,75.45,-0.6572,0
42,56,-581.16,4.1194,0,660.47,-2.0132,0
42,61,509.274,-0.533745,0,-108.172,-0.132539,0
42,84,-883.9302,4.0287,0,360.0808,-1.37211,0
42,85,493.7747,-4.10779,0.0119213,986.9591,-2.85003,0.0018563
42,87,-501.6695,1.6261,0,-935.6061,4.67403,0
42,89,-381.9636,-3.00577,0.0076136,2358.513,-1.30922,0.0137839
42,90,-1078.495,3.65154,0,1039.753,-3.51543,0
42,91,1654.642,-4.24837,0,-171.2349,0.62135,0
42,93,246.348,-1.9006,0,1120.89,-3.1028,0
42,98,449.5142,2.1727,0.0360498,4258.272,0.34026,-0.029654
43,45,-523.96,0.4945,0,1414,-2.8776,0
43,56,19.221,0.4413,0,117.208,-0.3946,0
43,84,-617.0431,2.40181,0,-323.6833,-0.13058,0
43,85,826.0889,-0.93908,0,-450.7675,0.94786,0
43,89,580.1045,-2.24427,-0.0080098,4927.307,-0.63511,-0.0351738
43,90,277.9974,0.25973,0,122.9861,-1.96464,0
43,91,-312.4461,1.126,0,186.7351,-0.9786,0
45,56,184.792,0,0,-76.1382,0,0
46,52,-1423.7,3.9162,0,1738.5,-3.9729,0
47,48,-91.65,-0.3411,0,117.57,0.7114,0
47,49,-188.913,0,0,308.235,0,0
53,56,912.2161,-2.02314,0,-604.897,1.04748,0
55,56,-9.63211,0.555403,-6.50E-05,125.526,0.289226,-0.000969
56,61,200.04,0.1979,-0.0016,742.31,-4.1234,0.0078
84,85,-103.0519,-1.42845,0.0094424,283.1673,-5.14586,0.0208006
84,89,-107.3735,-3.90856,0.0005537,1094.895,-4.10982,2.63E-05
84,91,133.3952,-2.64806,-0.0025991,-591.0368,0.45605,-0.0035024
84,98,-113.0145,-1.48378,0,-35.932,-1.52136,0
84,99,4542.127,0.85207,-0.0518203,-4116.333,-1.71395,-0.0073933
85,87,-1403.31,-4.02583,0.0382461,-516.843,-3.5941,0.0160959
85,90,855.7144,-1.14021,0,-254.6989,-0.46519,0
87,91,-1138.034,0.70013,0,1824.841,-4.26948,0
89,90,-1679.977,4.40837,-0.0092342,4209.48,-0.75036,-0.0356672
